institution_name,fips_state_code,longitude,latitude,total_enrollment,full-time_enrollment,part-time_enrollment,control,level
Amridge University,Alabama,-86.17401,32.362609,755.0,295.0,460.0,Private not-for-profit,4-year or above
Ancilla College,Indiana,-86.445263,41.337958,415.0,305.0,110.0,Private not-for-profit,2-year
Anderson University,Indiana,-85.664315,40.112768,1722.0,1367.0,355.0,Private not-for-profit,4-year or above
Anderson University,South Carolina,-82.64035799999998,34.5152,3429.0,2775.0,654.0,Private not-for-profit,4-year or above
Andrew College,Georgia,-84.79502099999998,31.772321,293.0,205.0,88.0,Private not-for-profit,4-year or above
Andrews University,Michigan,-86.355815,41.963859,3407.0,2307.0,1100.0,Private not-for-profit,4-year or above
Angeles College,California,-118.29903,34.061223,263.0,238.0,25.0,Private for-profit,4-year or above
Angelina College,Texas,-94.731625,31.287444,4919.0,1574.0,3345.0,Public,2-year
Angelo State University,Texas,-100.465051,31.440914000000006,10387.0,6264.0,4123.0,Public,4-year or above
Anna Maria College,Massachusetts,-71.91896,42.330542,1461.0,1012.0,449.0,Private not-for-profit,4-year or above
Anne Arundel Community College,Maryland,-76.51222299999998,39.049813,12886.0,3661.0,9225.0,Public,2-year
Anoka Technical College,Minnesota,-93.416087,45.216709,1844.0,828.0,1016.0,Public,2-year
Anoka-Ramsey Community College,Minnesota,-93.351697,45.172978,8845.0,3329.0,5516.0,Public,2-year
Antelope Valley College,California,-118.186166,34.676207,14239.0,3989.0,10250.0,Public,4-year or above
Antioch College,Ohio,-83.888077,39.799806,102.0,102.0,0.0,Private not-for-profit,4-year or above
Antioch University-Los Angeles,California,-118.384458,33.988533000000004,802.0,589.0,213.0,Private not-for-profit,4-year or above
Antioch University-Midwest,Ohio,-83.908684,39.80321,118.0,74.0,44.0,Private not-for-profit,4-year or above
Antioch University-Santa Barbara,California,-119.6958,34.419203,344.0,252.0,92.0,Private not-for-profit,4-year or above
Antioch University-Seattle,Washington,-122.346318,47.615916,605.0,402.0,203.0,Private not-for-profit,4-year or above
Antonelli College-Cincinnati,Ohio,-84.510735,39.104312,56.0,56.0,0.0,Private for-profit,2-year
Antonelli College-Hattiesburg,Mississippi,-89.33569200000002,31.349549,155.0,145.0,10.0,Private for-profit,2-year
Antonelli College-Jackson,Mississippi,-90.12297,32.328918,193.0,142.0,51.0,Private for-profit,2-year
Apex School of Theology,North Carolina,-78.841386,35.922645,554.0,506.0,48.0,Private not-for-profit,4-year or above
Appalachian Bible College,West Virginia,-81.198867,37.853335,263.0,162.0,101.0,Private not-for-profit,4-year or above
Appalachian State University,North Carolina,-81.680583,36.215536,19108.0,17291.0,1817.0,Public,4-year or above
Aquinas College,Michigan,-85.628785,42.96019,1758.0,1333.0,425.0,Private not-for-profit,4-year or above
Arapahoe Community College,Colorado,-105.018631,39.607505,11544.0,1887.0,9657.0,Public,4-year or above
Arcadia University,Pennsylvania,-75.163876,40.092606,3662.0,2456.0,1206.0,Private not-for-profit,4-year or above
Arizona Christian University,Arizona,-112.026211,33.595117,776.0,642.0,134.0,Private not-for-profit,4-year or above
Arizona College-Glendale,Arizona,-112.154233,33.56636,428.0,428.0,0.0,Private for-profit,2-year
Arizona College-Las Vegas,Nevada,-115.171331,36.1456,500.0,264.0,236.0,Private for-profit,4-year or above
Arizona College-Mesa,Arizona,-111.873428,33.418374,771.0,513.0,258.0,Private for-profit,4-year or above
Arizona State University-Downtown Phoenix,Arizona,-112.07347,33.452914,11584.0,10062.0,1522.0,Public,4-year or above
Arizona State University-Polytechnic,Arizona,-111.677225,33.307142,5095.0,4372.0,723.0,Public,4-year or above
Arizona State University-Skysong,Arizona,-111.92386100000002,33.463786,38540.0,14115.0,24425.0,Public,4-year or above
Arizona State University-Tempe,Arizona,-111.934383,33.417721,51585.0,46180.0,5405.0,Public,4-year or above
Arizona State University-West,Arizona,-112.160021,33.60726,4445.0,3753.0,692.0,Public,4-year or above
Arizona Western College,Arizona,-114.495968,32.689306,7434.0,2166.0,5268.0,Public,2-year
Arkansas Baptist College,Arkansas,-92.290555,34.734751,525.0,460.0,65.0,Private not-for-profit,4-year or above
Arkansas Northeastern College,Arkansas,-89.92100500000002,35.89859699999999,1422.0,555.0,867.0,Public,2-year
Arkansas State University Mid-South,Arkansas,-90.22285,35.145736,1423.0,356.0,1067.0,Public,2-year
Arkansas State University-Beebe,Arkansas,-91.895351,35.074176,3446.0,1779.0,1667.0,Public,2-year
Arkansas State University-Main Campus,Arkansas,-90.679988,35.842388,13709.0,7456.0,6253.0,Public,4-year or above
Arkansas State University-Mountain Home,Arkansas,-92.388581,36.320466,1345.0,605.0,740.0,Public,2-year
Arkansas State University-Newport,Arkansas,-91.188846,35.63872199999999,2270.0,1039.0,1231.0,Public,2-year
Arkansas Tech University,Arkansas,-93.13562,35.293237,12101.0,6583.0,5518.0,Public,4-year or above
Arlington Baptist University,Texas,-97.156024,32.739489,170.0,147.0,23.0,Private not-for-profit,4-year or above
Art Academy of Cincinnati,Ohio,-84.513913,39.108805,201.0,191.0,10.0,Private not-for-profit,4-year or above
Art Center College of Design,California,-118.185102,34.169031,2249.0,1952.0,297.0,Private not-for-profit,4-year or above
ASA College,New York,-73.986027,40.692405,4356.0,3828.0,528.0,Private for-profit,2-year
Asbury University,Kentucky,-84.66260600000003,37.862029,1940.0,1316.0,624.0,Private not-for-profit,4-year or above
Asher College,California,-121.415767,38.587784,596.0,38.0,558.0,Private for-profit,2-year
Asheville-Buncombe Technical Community College,North Carolina,-82.554826,35.570439,6892.0,2242.0,4650.0,Public,2-year
Ashford University,California,-117.141961,32.8273,34710.0,34706.0,4.0,Private for-profit,4-year or above
Ashland Community and Technical College,Kentucky,-82.650664,38.469201,2542.0,1261.0,1281.0,Public,2-year
Ashland University,Ohio,-82.321061,40.861755,6627.0,4524.0,2103.0,Private not-for-profit,4-year or above
Asnuntuck Community College,Connecticut,-72.570177,41.998409,1858.0,621.0,1237.0,Public,2-year
Aspen University,Colorado,-104.939111,39.68614,5424.0,1421.0,4003.0,Private for-profit,4-year or above
Associated Beth Rivkah Schools,New York,-73.949993,40.665998,195.0,195.0,0.0,Private not-for-profit,4-year or above
Assumption College,Massachusetts,-71.828991,42.294226,2428.0,2110.0,318.0,Private not-for-profit,4-year or above
ATA Career Education,Florida,-82.595376,28.452699,265.0,265.0,0.0,Private for-profit,2-year
ATA College,Kentucky,-85.563365,38.223667,352.0,352.0,0.0,Private for-profit,2-year
Athena Career Academy,Ohio,-83.665339,41.61463300000001,283.0,283.0,0.0,Private for-profit,2-year
Athens State University,Alabama,-86.964698,34.806793,3044.0,1229.0,1815.0,Public,4-year or above
Athens Technical College,Georgia,-83.339598,33.990183,4567.0,1130.0,3437.0,Public,2-year
Atlanta Institute of Music and Media,Georgia,-84.105311,33.961164000000004,182.0,94.0,88.0,Private for-profit,2-year
Atlanta Metropolitan State College,Georgia,-84.404659,33.70893,2187.0,906.0,1281.0,Public,4-year or above
Atlanta Technical College,Georgia,-84.404995,33.712009,3562.0,1303.0,2259.0,Public,2-year
Atlantic Cape Community College,New Jersey,-74.680019,39.462081,4973.0,2207.0,2766.0,Public,2-year
Atlantic Institute of Oriental Medicine,Florida,-80.142235,26.121964,134.0,134.0,0.0,Private not-for-profit,4-year or above
Atlantis University,Florida,-80.18942,25.788978,341.0,303.0,38.0,Private for-profit,4-year or above
Auburn University,Alabama,-85.488258,32.599378,30440.0,25806.0,4634.0,Public,4-year or above
Auburn University at Montgomery,Alabama,-86.177544,32.36736,5211.0,3775.0,1436.0,Public,4-year or above
Augsburg University,Minnesota,-93.240436,44.966307,3419.0,2748.0,671.0,Private not-for-profit,4-year or above
Augusta Technical College,Georgia,-82.048439,33.418992,4409.0,1847.0,2562.0,Public,2-year
Augusta University,Georgia,-81.989071,33.47037,8458.0,6840.0,1618.0,Public,4-year or above
Augustana College,Illinois,-90.55057,41.50236500000001,2543.0,2534.0,9.0,Private not-for-profit,4-year or above
Augustana University,South Dakota,-96.736975,43.525148,2133.0,1754.0,379.0,Private not-for-profit,4-year or above
Auguste Escoffier School of Culinary Arts-Austin,Texas,-97.717865,30.326455,506.0,506.0,0.0,Private for-profit,2-year
Auguste Escoffier School of Culinary Arts-Boulder,Colorado,-105.250075,39.983475,2289.0,2289.0,0.0,Private for-profit,2-year
Aultman College of Nursing and Health Sciences,Ohio,-81.404053,40.796186,343.0,106.0,237.0,Private not-for-profit,4-year or above
Aurora University,Illinois,-88.349023,41.753631,6005.0,4367.0,1638.0,Private not-for-profit,4-year or above
